" Tabela 3 - Minerais na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Cálcio 
(mg)","Mag-
nésio 
(mg)","Man-
ganês 
(mg)","Fósforo 
(mg)","Ferro 
(mg)","Sódio 
(mg)","Sódio 
de 
adição 
(mg)","Potás-
sio
(mg)","Co-
bre 
(mg)","Zinco
(mg)","Selê-
nio
(mcg)"
"Cereais e leguminosas",,,,,,,,,,,,,,
6400501,"Inhame",5,"Frito(a)","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","1,42"
6400501,"Inhame",7,"Refogado(a)","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","1,42"
6400501,"Inhame",13,"Ensopado","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","1,42"
6400501,"Inhame",15,"Sopa","8,56","6,35","0,07","15,76","0,29","310,43","-","88,32","0,04","0,12","1,34"
6400508,"Quicaré",99,"Não se aplica","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","0,60"
6400601,"Mandioca",1,"Cru(a)","19,00","27,00","0,06","22,00","0,10","1,00","286,00","100,00","0,01","0,20","-"
6400601,"Mandioca",2,"Cozido(a)","19,00","27,00","0,06","22,00","0,10","1,00","286,00","100,00","0,01","0,20","-"
6400601,"Mandioca",4,"Assado(a)","19,00","27,00","0,06","22,00","0,10","1,00","286,00","100,00","0,01","0,20","-"
6400601,"Mandioca",5,"Frito(a)","18,05","25,65","0,06","20,90","0,10","0,95","286,00","95,00","0,01","0,19","2,28"
6400601,"Mandioca",7,"Refogado(a)","18,05","25,65","0,06","20,90","0,10","0,95","286,00","95,00","0,01","0,19","2,28"
6400601,"Mandioca",8,"Molho vermelho","17,80","24,80","0,07","22,80","0,28","105,60","228,80","146,20","0,03","0,20","0,04"
6400601,"Mandioca",11,"Com manteiga/óleo","19,25","25,75","0,06","22,10","0,10","29,75","286,00","96,20","0,01","0,19","0,05"
6400601,"Mandioca",13,"Ensopado","18,05","25,65","0,06","20,90","0,10","0,95","286,00","95,00","0,01","0,19","2,28"
6400601,"Mandioca",15,"Sopa","8,56","6,35","0,07","15,76","0,29","310,43","-","88,32","0,04","0,12","1,34"
6400601,"Mandioca",99,"Não se aplica","19,00","27,00","0,06","22,00","0,10","1,00","286,00","100,00","0,01","0,20","-"
