" Tabela 3 - Minerais na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Cálcio 
(mg)","Mag-
nésio 
(mg)","Man-
ganês 
(mg)","Fósforo 
(mg)","Ferro 
(mg)","Sódio 
(mg)","Sódio 
de 
adição 
(mg)","Potás-
sio
(mg)","Co-
bre 
(mg)","Zinco
(mg)","Selê-
nio
(mcg)"
"Cereais e leguminosas",,,,,,,,,,,,,,
7109101,"Carne bovina ",10,"Ao alho e óleo","8,64","20,05","0,00","196,64","2,81","82,37","333,00","337,64","0,09","5,71","28,33"
7109101,"Carne bovina",11,"Com manteiga/óleo","8,64","20,05","0,00","196,64","2,81","82,37","333,00","337,64","0,09","5,71","28,33"
7109101,"Carne bovina ",12,"Ao vinagrete","8,00","20,00","0,00","196,00","2,81","67,00","333,00","337,00","0,09","5,71","28,30"
7109101,"Carne bovina",13,"Ensopado","8,00","20,00","0,00","196,00","2,81","67,00","333,00","337,00","0,09","5,71","29,48"
7109101,"Carne bovina ",15,"Sopa","6,63","7,03","0,05","39,86","0,65","364,01","-","125,68","0,05","0,68","4,81"
7109101,"Carne bovina ",99,"Não se aplica","8,00","20,00","0,00","196,00","2,81","67,00","333,00","337,00","0,09","5,71","28,30"
7110601,"Lombo não especificado",1,"Cru(a)","15,00","22,00","0,03","257,00","0,98","59,00","166,00","338,00","0,10","3,06","43,30"
7110601,"Lombo não especificado",2,"Cozido(a)","15,00","22,00","0,03","257,00","0,98","59,00","166,00","338,00","0,10","3,06","43,30"
7110601,"Lombo não especificado",4,"Assado(a)","15,00","22,00","0,03","257,00","0,98","59,00","166,00","338,00","0,10","3,06","43,30"
7110601,"Lombo não especificado",5,"Frito(a)","15,00","22,00","0,03","257,00","0,98","59,00","166,00","338,00","0,10","3,06","45,87"
7110601,"Lombo não especificado",9,"Molho branco","15,00","22,00","0,03","257,00","0,98","59,00","166,00","338,00","0,10","3,06","43,30"
7110801,"Músculo não especificado",2,"Cozido(a)","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","33,00"
7110801,"Músculo não especificado",13,"Ensopado","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","34,18"
7110902,"Ossada não especificada",2,"Cozido(a)","27,00","27,00","0,03","226,00","1,16","91,00","333,00","356,00","0,15","4,32","11,30"
7110902,"Ossada não especificada",7,"Refogado(a)","27,00","27,00","0,03","226,00","1,16","91,00","333,00","356,00","0,15","4,32","12,48"
7110902,"Ossada não especificada",15,"Sopa","27,00","27,00","0,03","226,00","1,16","91,00","333,00","356,00","0,15","4,32","11,30"
7110902,"Ossada não especificada",99,"Não se aplica","27,00","27,00","0,03","226,00","1,16","91,00","333,00","356,00","0,15","4,32","11,30"
7111202,"Carne de segunda ",1,"Cru(a)","8,00","20,00","0,00","196,00","2,81","67,00","333,00","337,00","0,09","5,71","28,30"
7111202,"Carne de segunda ",2,"Cozido(a)","8,00","20,00","0,00","196,00","2,81","67,00","333,00","337,00","0,09","5,71","28,30"
7111202,"Carne de segunda ",3,"Grelhado(a)/brasa/churrasco","8,00","20,00","0,00","196,00","2,81","67,00","333,00","337,00","0,09","5,71","28,30"
7111202,"Carne de segunda ",4,"Assado(a)","8,00","20,00","0,00","196,00","2,81","67,00","333,00","337,00","0,09","5,71","28,30"
7111202,"Carne de segunda ",5,"Frito(a)","8,00","20,00","0,00","196,00","2,81","67,00","333,00","337,00","0,09","5,71","29,48"
7111202,"Carne de segunda ",6,"Empanado(a)/à milanesa","8,67","20,98","0,03","200,80","3,02","67,09","333,00","341,76","0,10","5,74","30,98"
7111202,"Carne de segunda ",7,"Refogado(a)","8,00","20,00","0,00","196,00","2,81","67,00","333,00","337,00","0,09","5,71","29,48"
7111202,"Carne de segunda ",8,"Molho vermelho","9,00","19,20","0,02","162,00","2,45","158,40","333,00","335,80","0,10","4,61","22,68"
7111202,"Carne de segunda ",10,"Ao alho e óleo","8,64","20,05","0,00","196,64","2,81","82,37","333,00","337,64","0,09","5,71","28,33"
7111202,"Carne de segunda ",13,"Ensopado","8,00","20,00","0,00","196,00","2,81","67,00","333,00","337,00","0,09","5,71","29,48"
7111401,"Contrafilé orgânico",4,"Assado(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7111405,"Bisteca orgânica",4,"Assado(a)","12,00","15,00","0,01","162,00","2,31","50,00","333,00","224,00","0,10","4,88","20,80"
7111405,"Bisteca orgânica",5,"Frito(a)","12,00","15,00","0,01","162,00","2,31","50,00","333,00","224,00","0,10","4,88","20,80"
7111702,"Cabeça de lombo (carne bovina) orgânica",1,"Cru(a)","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","33,00"
7111702,"Cabeça de lombo (carne bovina) orgânica",4,"Assado(a)","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","33,00"
7111702,"Cabeça de lombo (carne bovina) orgânica",5,"Frito(a)","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","35,57"
7111806,"Tatu (lagarto redondo) orgânico",4,"Assado(a)","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","33,00"
"Pescados e frutos do mar",,,,,,,,,,,,,,
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",1,"Cru(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",2,"Cozido(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",3,"Grelhado(a)/brasa/churrasco","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",4,"Assado(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",5,"Frito(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","59,37"
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",6,"Empanado(a)/à milanesa","18,67","58,98","0,05","293,80","0,55","105,09","333,00","348,76","0,03","0,66","60,88"
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",8,"Molho vermelho","17,00","49,60","0,04","236,40","0,48","188,80","333,00","341,40","0,04","0,54","46,60"
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",9,"Molho branco","27,08","48,76","0,07","254,53","1,60","92,80","333,00","321,15","0,06","0,67","49,41"
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",13,"Ensopado","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","59,37"
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",2,"Cozido(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",3,"Grelhado(a)/brasa/churrasco","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",4,"Assado(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",5,"Frito(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","59,37"
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",6,"Empanado(a)/à milanesa","18,67","58,98","0,05","293,80","0,55","105,09","-","348,76","0,03","0,66","60,88"
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",9,"Molho branco","27,08","48,76","0,07","254,53","1,60","92,80","-","321,15","0,06","0,67","49,41"
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",13,"Ensopado","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","59,37"
7260101,"Camarão",1,"Cru(a)","39,00","34,00","0,03","137,00","3,09","224,00","333,00","182,00","0,19","1,56","39,60"
7260101,"Camarão ",2,"Cozido(a)","39,00","34,00","0,03","137,00","3,09","224,00","333,00","182,00","0,19","1,56","39,60"
7260101,"Camarão",3,"Grelhado(a)/brasa/churrasco","39,00","34,00","0,03","137,00","3,09","224,00","333,00","182,00","0,19","1,56","39,60"
7260101,"Camarão",4,"Assado(a)","39,00","34,00","0,03","137,00","3,09","224,00","333,00","182,00","0,19","1,56","39,60"
7260101,"Camarão",5,"Frito(a)","39,00","34,00","0,03","137,00","3,09","224,00","333,00","182,00","0,19","1,56","40,77"
7260101,"Camarão",6,"Empanado(a)/à milanesa","39,67","34,98","0,06","141,80","3,30","224,09","333,00","186,76","0,20","1,59","42,28"
7260101,"Camarão",7,"Refogado(a)","39,00","34,00","0,03","137,00","3,09","224,00","333,00","182,00","0,19","1,56","40,77"
7260101,"Camarão",8,"Molho vermelho","33,80","30,40","0,05","114,80","2,68","284,00","333,00","211,80","0,18","1,29","31,72"
7260101,"Camarão",9,"Molho branco","43,88","29,56","0,09","132,93","3,80","188,00","333,00","191,55","0,19","1,41","34,53"
7260101,"Camarão",10,"Ao alho e óleo","39,00","34,00","0,03","137,00","3,09","224,00","333,00","182,00","0,19","1,56","40,77"
7260101,"Camarão",13,"Ensopado","39,00","34,00","0,03","137,00","3,09","224,00","333,00","182,00","0,19","1,56","40,77"
7260101,"Camarão",99,"Não se aplica","39,00","34,00","0,03","137,00","3,09","224,00","333,00","182,00","0,19","1,56","39,60"
7261101,"Siri",2,"Cozido(a)","104,00","33,00","0,19","206,00","0,91","279,00","333,00","324,00","0,65","4,22","40,20"
7261101,"Siri",6,"Empanado(a)/à milanesa","104,67","33,98","0,22","210,80","1,12","279,09","333,00","328,76","0,65","4,25","42,88"
7261101,"Siri",7,"Refogado(a)","104,00","33,00","0,19","206,00","0,91","279,00","333,00","324,00","0,65","4,22","41,37"
7261120,"Bau (siri)",2,"Cozido(a)","104,00","33,00","0,19","206,00","0,91","279,00","333,00","324,00","0,65","4,22","40,20"
7261121,"Goiá",1,"Cru(a)","104,00","33,00","0,19","206,00","0,91","279,00","333,00","324,00","0,65","4,22","40,20"
7262101,"Caranguejo",2,"Cozido(a)","104,00","33,00","0,19","206,00","0,91","279,00","333,00","324,00","0,65","4,22","40,20"
7262101,"Caranguejo",4,"Assado(a)","104,00","33,00","0,19","206,00","0,91","279,00","333,00","324,00","0,65","4,22","40,20"
7262101,"Caranguejo",12,"Ao vinagrete","104,00","33,00","0,19","206,00","0,91","279,00","333,00","324,00","0,65","4,22","40,20"
7262105,"Guaiamu",2,"Cozido(a)","104,00","33,00","0,19","206,00","0,91","279,00","333,00","324,00","0,65","4,22","40,20"
7263101,"Marisco",2,"Cozido(a)","92,00","18,00","1,00","338,00","27,96","112,00","333,00","628,00","0,69","2,73","48,60"
7263101,"Marisco",5,"Frito(a)","92,00","18,00","1,00","338,00","27,96","112,00","333,00","628,00","0,69","2,73","49,78"
7263101,"Marisco",8,"Molho vermelho","76,20","17,60","0,82","275,60","22,57","194,40","333,00","568,60","0,57","2,22","38,92"
7263101,"Marisco",99,"Não se aplica","92,00","18,00","1,00","338,00","27,96","112,00","333,00","628,00","0,69","2,73","48,60"
7264101,"Ostra",2,"Cozido(a)","90,00","95,00","0,70","203,00","11,99","422,00","333,00","281,00","7,57","181,61","71,60"
7265101,"Lula",6,"Empanado(a)/à milanesa","37,59","35,04","0,07","207,49","0,95","51,09","333,00","230,46","2,07","1,79","82,78"
7266101,"Sururu",2,"Cozido(a)","92,00","18,00","1,00","338,00","27,96","112,00","333,00","628,00","0,69","2,73","48,60"
7266101,"Sururu",13,"Ensopado","92,00","18,00","1,00","338,00","27,96","112,00","333,00","628,00","0,69","2,73","49,78"
7270401,"Bacalhau",2,"Cozido(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7270401,"Bacalhau",4,"Assado(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7270401,"Bacalhau",5,"Frito(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","59,37"
7270401,"Bacalhau",6,"Empanado(a)/à milanesa","18,67","58,98","0,05","293,80","0,55","105,09","-","348,76","0,03","0,66","60,88"
7270401,"Bacalhau",7,"Refogado(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","59,37"
7270401,"Bacalhau",8,"Molho vermelho","17,00","49,60","0,04","236,40","0,48","188,80","-","341,40","0,04","0,54","46,60"
7270401,"Bacalhau",13,"Ensopado","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","59,37"
7270401,"Bacalhau",99,"Não se aplica","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7273101,"Ovas de peixe (qualquer espécie)",4,"Assado(a)","28,00","26,00","0,01","515,00","0,77","117,00","333,00","283,00","0,13","1,28","51,70"
7273101,"Ovas de peixe (qualquer espécie)",5,"Frito(a)","28,00","26,00","0,01","515,00","0,77","117,00","333,00","283,00","0,13","1,28","52,88"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",1,"Cru(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",2,"Cozido(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",3,"Grelhado(a)/brasa/churrasco","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",4,"Assado(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",5,"Frito(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","59,37"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",6,"Empanado(a)/à milanesa","18,67","58,98","0,05","293,80","0,55","105,09","333,00","348,76","0,03","0,66","60,88"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",7,"Refogado(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","59,37"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",8,"Molho vermelho","17,00","49,60","0,04","236,40","0,48","188,80","333,00","341,40","0,04","0,54","46,60"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",9,"Molho branco","37,28","48,71","0,03","250,89","0,34","104,92","333,00","305,25","0,03","0,59","47,73"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",13,"Ensopado","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","59,37"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",99,"Não se aplica","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",2,"Cozido(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",3,"Grelhado(a)/brasa/churrasco","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",4,"Assado(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",5,"Frito(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","59,37"
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",6,"Empanado(a)/à milanesa","18,67","58,98","0,05","293,80","0,55","105,09","-","348,76","0,03","0,66","60,88"
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",8,"Molho vermelho","17,00","49,60","0,04","236,40","0,48","188,80","-","341,40","0,04","0,54","46,60"
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",13,"Ensopado","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","59,37"
7444101,"Tracajá",2,"Cozido(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",1,"Cru(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",2,"Cozido(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",3,"Grelhado(a)/brasa/churrasco","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",4,"Assado(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","58,20"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",5,"Frito(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","59,37"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",6,"Empanado(a)/à milanesa","18,67","58,98","0,05","293,80","0,55","105,09","333,00","348,76","0,03","0,66","60,88"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",7,"Refogado(a)","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","59,37"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",8,"Molho vermelho","17,00","49,60","0,04","236,40","0,48","188,80","333,00","341,40","0,04","0,54","46,60"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",9,"Molho branco","27,08","48,76","0,07","254,53","1,60","92,80","333,00","321,15","0,06","0,67","49,41"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",13,"Ensopado","18,00","58,00","0,02","289,00","0,34","105,00","333,00","344,00","0,03","0,63","59,37"
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",2,"Cozido(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",3,"Grelhado(a)/brasa/churrasco","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",4,"Assado(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","58,20"
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",5,"Frito(a)","18,00","58,00","0,02","289,00","0,34","105,00","-","344,00","0,03","0,63","59,37"
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",6,"Empanado(a)/à milanesa","18,67","58,98","0,05","293,80","0,55","105,09","-","348,76","0,03","0,66","60,88"
"Enlatados e conservas",,,,,,,,,,,,,,
7700101,"Azeitona",99,"Não se aplica","52,00","11,00","0,02","4,00","0,49","1556,00","-","42,00","0,12","0,04","0,90"
7700201,"Ervilha em conserva",99,"Não se aplica","20,00","17,00","0,30","67,00","0,95","252,00","-","173,00","0,08","0,71","1,70"
7700202,"Petit-pois",99,"Não se aplica","20,00","17,00","0,30","67,00","0,95","252,00","-","173,00","0,08","0,71","1,70"
7700401,"Milho verde em conserva",99,"Não se aplica","5,00","15,00","0,14","48,00","0,72","298,00","-","135,00","0,05","0,37","0,70"
7700501,"Palmito em conserva",99,"Não se aplica","58,00","38,00","1,39","65,00","3,13","426,00","-","177,00","0,13","1,15","0,70"
7700601,"Cogumelo em conserva",99,"Não se aplica","11,00","15,00","0,09","66,00","0,79","425,00","-","129,00","0,24","0,72","5,43"
7700602,"Champignon em conserva",99,"Não se aplica","11,00","15,00","0,09","66,00","0,79","425,00","-","129,00","0,24","0,72","5,43"
7700701,"Aspargo em conserva",99,"Não se aplica","16,00","10,00","0,17","43,00","1,83","287,00","-","172,00","0,10","0,40","1,70"
7700901,"Repolho em conserva",99,"Não se aplica","30,00","13,00","0,15","20,00","1,47","661,00","-","170,00","0,10","0,19","0,60"
7700902,"Chucrute",99,"Não se aplica","30,00","13,00","0,15","20,00","1,47","661,00","-","170,00","0,10","0,19","0,60"
7701101,"Legume não especificado em conserva",99,"Não se aplica","22,65","12,51","0,37","45,50","0,79","482,78","-","176,05","0,09","0,48","1,05"
7701404,"Creme de cebola (sopa desidratada)",99,"Não se aplica","59,19","7,77","0,04","43,22","0,16","374,69","-","89,41","0,02","0,22","1,89"
7701405,"Creme de legumes (sopa desidratada)",99,"Não se aplica","6,52","3,03","0,03","6,30","0,07","289,56","-","22,68","0,02","0,05","0,43"
7701406,"Yakissoba ",99,"Não se aplica","20,00","52,00","1,36","161,00","4,73","439,00","-","120,00","0,17","1,40","43,00"
7701501,"Milho verde com ervilha em conserva",1,"Cru(a)","13,37","25,04","0,22","78,01","0,99","36,06","233,00","172,26","0,08","0,65","0,85"
7701501,"Milho verde com ervilha em conserva",2,"Cozido(a)","13,37","25,04","0,22","78,01","0,99","36,06","233,00","172,26","0,08","0,65","0,85"
7701501,"Milho verde com ervilha em conserva",5,"Frito(a)","13,37","25,04","0,22","78,01","0,99","36,06","233,00","172,26","0,08","0,65","0,85"
7701501,"Milho verde com ervilha em conserva",99,"Não se aplica","13,37","25,04","0,22","78,01","0,99","36,06","233,00","172,26","0,08","0,65","0,85"
7701901,"Feijoada",99,"Não se aplica","26,73","49,60","0,30","140,25","1,82","353,09","-","327,86","0,16","1,57","8,35"
7702001,"Feijão branco com dobradinha em conserva",99,"Não se aplica","70,29","30,65","0,28","88,03","1,73","332,22","-","260,04","0,11","1,46","6,14"
7702101,"Cozido",99,"Não se aplica","18,40","15,65","0,20","66,61","0,89","298,29","-","190,65","0,10","1,06","5,42"
7702302,"Pasta de carne em conserva",99,"Não se aplica","12,47","9,38","0,01","81,19","0,83","800,10","-","109,37","0,05","1,56","10,63"
7702402,"Pasta de presunto em conserva",99,"Não se aplica","20,29","14,28","0,01","143,33","1,47","1019,37","-","198,91","0,11","2,42","30,15"
7702502,"Pasta de galinha em conserva",99,"Não se aplica","18,17","15,07","0,05","106,11","0,97","706,46","-","158,58","0,06","0,85","12,11"
7702601,"Carne bovina em conserva",99,"Não se aplica","8,19","20,01","0,00","196,00","2,81","367,77","-","337,06","0,09","5,71","28,30"
7702602,"Almôndega ",99,"Não se aplica","56,01","22,98","0,15","180,27","2,66","153,28","-","278,32","0,10","4,62","20,68"
7702603,"Kitute bovino",99,"Não se aplica","8,19","20,01","0,00","196,00","2,81","367,77","-","337,06","0,09","5,71","28,30"
7702604,"Almôndega ao molho em conserva",99,"Não se aplica","56,75","21,77","0,14","156,16","2,16","246,54","307,00","313,65","0,10","3,40","16,33"
7702704,"Kitute suíno",99,"Não se aplica","8,00","22,00","0,04","281,00","1,34","1500,00","-","409,00","0,15","2,47","19,80"
7702705,"Presuntada",99,"Não se aplica","8,00","22,00","0,04","281,00","1,34","1500,00","-","409,00","0,15","2,47","19,80"
7702707,"Fiambre ",1,"Cru(a)","8,00","22,00","0,04","281,00","1,34","1500,00","-","409,00","0,15","2,47","19,80"
7702707,"Fiambre ",2,"Cozido(a)","8,00","22,00","0,04","281,00","1,34","1500,00","-","409,00","0,15","2,47","19,80"
7702707,"Fiambre ",4,"Assado(a)","8,00","22,00","0,04","281,00","1,34","1500,00","-","409,00","0,15","2,47","19,80"
7702707,"Fiambre ",5,"Frito(a)","8,00","22,00","0,04","281,00","1,34","1500,00","-","409,00","0,15","2,47","19,80"
7702801,"Salsicha em conserva",99,"Não se aplica","17,10","8,37","0,01","75,96","0,58","752,81","-","100,58","0,04","1,04","9,12"
7703002,"Sardinha em conserva",99,"Não se aplica","382,00","39,00","0,11","490,00","2,92","505,00","-","397,00","0,19","1,31","52,70"
7703402,"Atum em conserva",99,"Não se aplica","13,00","31,00","0,02","311,00","1,39","354,00","-","207,00","0,07","0,90","76,00"
7703701,"Pepino em conserva",99,"Não se aplica","42,00","7,00","0,05","12,00","0,37","875,00","-","92,00","0,03","0,11","0,10"
7703902,"Pasta de peixe em conserva",99,"Não se aplica","13,00","31,00","0,02","311,00","1,39","354,00","-","207,00","0,07","0,90","76,00"
7704001,"Picles",99,"Não se aplica","42,00","7,00","0,05","12,00","0,37","875,00","-","92,00","0,03","0,11","0,10"
7705201,"Nabo em conserva",99,"Não se aplica","24,58","10,18","0,13","25,37","0,28","195,30","-","163,65","0,06","0,23","0,85"
7705401,"Strogonoff ",99,"Não se aplica","25,13","12,81","0,05","106,16","1,33","354,23","-","198,48","0,10","2,13","15,24"
7706001,"Salmão em conserva",99,"Não se aplica","277,00","34,00","0,04","365,00","0,90","399,00","-","311,00","0,16","1,09","39,50"
7706104,"Creme de cebola (sopa desidratada) light",99,"Não se aplica","59,19","7,77","0,04","43,22","0,16","374,69","-","89,41","0,02","0,22","1,89"
7706105,"Creme de legumes (sopa desidratada) light",99,"Não se aplica","6,52","3,03","0,03","6,30","0,07","289,56","-","22,68","0,02","0,05","0,43"
7706106,"Yakissoba (sopa de legumes desidratada) light",99,"Não se aplica","7,41","10,70","0,17","30,95","0,67","398,23","-","30,62","0,06","0,28","13,19"
7706302,"Atum em conserva light",99,"Não se aplica","11,00","27,00","0,01","163,00","1,53","338,00","-","237,00","0,05","0,77","80,40"
"Aves e ovos  ",,,,,,,,,,,,,,
7800103,"Frango inteiro",1,"Cru(a)","15,00","23,00","0,02","182,00","1,26","82,00","333,00","223,00","0,07","1,94","23,90"
7800103,"Frango inteiro",2,"Cozido(a)","15,00","23,00","0,02","182,00","1,26","82,00","333,00","223,00","0,07","1,94","23,90"
7800103,"Frango inteiro",3,"Grelhado(a)/brasa/churrasco","15,00","23,00","0,02","182,00","1,26","82,00","333,00","223,00","0,07","1,94","23,90"
7800103,"Frango inteiro",4,"Assado(a)","15,00","23,00","0,02","182,00","1,26","82,00","333,00","223,00","0,07","1,94","23,90"
7800103,"Frango inteiro",5,"Frito(a)","15,00","23,00","0,02","182,00","1,26","82,00","333,00","223,00","0,07","1,94","25,08"
7800103,"Frango inteiro",6,"Empanado(a)/à milanesa","15,67","23,98","0,05","186,80","1,47","82,09","333,00","227,76","0,07","1,97","26,58"
7800103,"Frango inteiro",7,"Refogado(a)","15,00","23,00","0,02","182,00","1,26","82,00","333,00","223,00","0,07","1,94","25,08"
7800103,"Frango inteiro",8,"Molho vermelho","14,60","21,60","0,04","150,80","1,21","170,40","333,00","244,60","0,08","1,59","19,16"
7800103,"Frango inteiro",13,"Ensopado","15,00","23,00","0,02","182,00","1,26","82,00","333,00","223,00","0,07","1,94","25,08"
7800301,"Parte de galinha ou frango não especificada",1,"Cru(a)","15,00","23,00","0,02","182,00","1,26","82,00","333,00","223,00","0,07","1,94","23,90"
7800301,"Parte de galinha ou frango não especificada",2,"Cozido(a)","15,00","23,00","0,02","182,00","1,26","82,00","333,00","223,00","0,07","1,94","23,90"
7800301,"Parte de galinha ou frango não especificada",3,"Grelhado(a)/brasa/churrasco","15,00","23,00","0,02","182,00","1,26","82,00","333,00","223,00","0,07","1,94","23,90"
